customer_id,first_name,last_name,email,city,phone,join_date
1,Ava,Martinez,customer1@example.com,Lucknow,9196896434,2026-05-31
2,Michael,Johnson,customer2@example.com,Chennai,9844974742,2025-08-03
3,John,Garcia,customer3@example.com,Pune,9997728642,2026-06-13
4,Ava,Miller,customer4@example.com,Pune,9254988003,2026-05-25
5,Sophia,Davis,customer5@example.com,Mumbai,9794888229,2025-11-21
6,Isabella,Jones,customer6@example.com,Ahmedabad,9355092379,2026-02-02
7,Isabella,Davis,customer7@example.com,Pune,9209240236,2025-12-11
8,James,Garcia,customer8@example.com,Bangalore,9535254642,2026-05-10
9,Ava,Miller,customer9@example.com,Ahmedabad,9502516516,2025-08-18
10,James,Davis,customer10@example.com,Hyderabad,9841846377,2026-03-31
11,Michael,Brown,customer11@example.com,Ahmedabad,9338029324,2026-03-28
12,Michael,Williams,customer12@example.com,Lucknow,9524193092,2026-07-11
13,Sophia,Garcia,customer13@example.com,Delhi,9552288659,2025-10-09
14,David,Brown,customer14@example.com,Bangalore,9959867035,2025-10-23
15,Olivia,Rodriguez,customer15@example.com,Mumbai,9633027347,2025-07-19
16,Emma,Brown,customer16@example.com,Delhi,9522713077,2026-03-17
17,James,Martinez,customer17@example.com,Lucknow,9413109493,2026-06-21
18,John,Brown,customer18@example.com,Hyderabad,9813268528,2025-09-22
19,Michael,Davis,customer19@example.com,Delhi,9720994358,2026-02-07
20,Olivia,Williams,customer20@example.com,Hyderabad,9597204057,2026-05-09
21,Sophia,Garcia,customer21@example.com,Bangalore,9603910141,2025-08-10
22,John,Williams,customer22@example.com,Mumbai,9345301968,2025-09-27
23,Olivia,Davis,customer23@example.com,Lucknow,9389756873,2025-09-25
24,Sophia,Williams,customer24@example.com,Mumbai,9613744029,2026-04-24
25,David,Williams,customer25@example.com,Delhi,9907024800,2026-05-08
26,Ava,Rodriguez,customer26@example.com,Delhi,9617060526,2025-09-24
27,Olivia,Smith,customer27@example.com,Hyderabad,9601416220,2026-06-05
28,Robert,Rodriguez,customer28@example.com,Chennai,9716284349,2026-01-08
29,Ava,Miller,customer29@example.com,Pune,9165588631,2025-07-24
30,Emma,Davis,customer30@example.com,Ahmedabad,9812596332,2025-10-18
31,Emma,Garcia,customer31@example.com,Pune,9815502318,2025-07-29
32,Ava,Davis,customer32@example.com,Ahmedabad,9491149149,2026-02-25
